# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3843
#@/user_id	b176f87b-293e-4035-b0c9-fd7cf4777bf9
a 	啊	c=5 d=0.603844 t=3843
a er bei si shan 	阿爾卑斯山	c=1 d=0.519442 t=3843
ai 	愛	c=1 d=0.344728 t=3843
ai er lan 	愛爾蘭	c=1 d=0.873716 t=3843
an 	俺	c=1 d=3.48311e-05 t=3843
an 	按	c=6 d=0.0171671 t=3843
an 	氨	c=0 d=0.0219808 t=3843
an 	胺	c=3 d=0.683115 t=3843
an ji suan 	氨基酸	c=1 d=0.752014 t=3843
an ran 	安然	c=6 d=5.1261 t=3843
an tong kuan qu 	暗通款曲	c=1 d=0.715338 t=3843
an yi xia 	按一下	c=1 d=0.00276698 t=3843
an zhao 	按照	c=1 d=9.51553e-05 t=3843
an zhuang 	安裝	c=19 d=1.77659 t=3843
ao da li ya 	澳大利亞	c=1 d=3.23143e-05 t=3843
ao gu si du 	奧古斯都	c=2 d=0.740195 t=3843
ba 	吧	c=15 d=1.44611 t=3843
ba 	把	c=25 d=0.313486 t=3843
ba ba 	爸爸	c=2 d=0.251116 t=3843
ba shi 	八十	c=1 d=0.585669 t=3843
ba ta 	把它	c=3 d=0.111344 t=3843
ba ta men 	把他們	c=1 d=0.00423234 t=3843
bai bai he 	白百何	c=2 d=0.718029 t=3843
bai du 	百度	c=4 d=0.821317 t=3843
bai du yun 	百度雲	c=1 d=1 t=3825
bai fen bi 	百分比	c=1 d=1 t=3510
bai tuo 	擺脫	c=2 d=0.677057 t=3843
ban 	版	c=3 d=0.942278 t=3843
ban 	辦	c=2 d=0.272041 t=3843
ban ben 	版本	c=1 d=0.298197 t=3843
bang 	棒	c=2 d=0.119823 t=3843
bao 	包	c=1 d=0.00463092 t=3843
bao cun 	保存	c=2 d=0.0121576 t=3843
bao dun 	寶墩	c=1 d=0.722527 t=3843
bao xiu 	保修	c=2 d=0.360884 t=3843
bao zha 	爆炸	c=1 d=0.00970611 t=3843
bei 	被	c=7 d=3.16141 t=3843
bei da 	北大	c=1 d=0.600496 t=3843
bei fen 	備份	c=4 d=0.00405031 t=3843
bei jing 	北京	c=1 d=1 t=3838
bei jing 	背景	c=1 d=0.565525 t=3843
bei zhua 	被抓	c=1 d=0.733447 t=3843
ben 	苯	c=1 d=1 t=3606
ben di 	本地	c=1 d=0.00416933 t=3843
ben huang suan 	苯磺酸	c=1 d=0.279431 t=3843
ben ji 	本機	c=1 d=1 t=3816
ben ti 	本體	c=2 d=4.11094e-05 t=3843
ben yi xi 	苯乙烯	c=5 d=1.29076 t=3843
bi 	必	c=2 d=1.99005 t=3823
